class,placeId,score,name_kor,name_eng,location
attractions,10020511,4.75,하이서울페스티벌,Hi Seoul Festival,"서울 (Multiple locations, including Seoul Plaza and Cheonggye Plaza)"
attractions,10210051,3.2,누죤,Nuzzon,서울 중구 을지로45길 62
attractions,10253198,4.4,서울파이낸스센터,Seoul Finance Center,서울 중구 세종대로 136
attractions,10270564,4.1875,코엑스,COEX Center,서울 강남구 영동대로 513
attractions,10376613,4.8,망원 한강공원,Mangwon Hangang Park,서울 마포구 마포나루길 467
attractions,10388757,3.0,북한산성 방문자센터,Bukhansanseong Visitor Center,서울 은평구 대서문길 43-9
attractions,10447913,3.5,동대문역사관1398,Dongdaemun History Museum 1398,서울 중구 을지로 281
attractions,10464413,5.0,시네코아비밥전용관,CineCore Bibap Theater,서울 종로구 삼일대로 386
attractions,10536576,4.333333333333333,이화벽화마을,Ewha Mural Village,서울 종로구 이화동
attractions,10620641,5.0,문정전각갤러리,Jeon-Gak Gallery,서울 인사동길 52
attractions,10625757,4.0,Myungsung Presbyterian Church,Myungsung Presbyterian Church,서울 452 Gucheonmyeon-ro
attractions,10686434,4.0,구로시장,Guro Market,서울 구로구 구로동로22길 18
attractions,10686449,3.5,남구로시장,Namguro Market,서울 구로구 구로동로26길 33
attractions,10758285,2.833333333333333,강남스타일 말춤 동상,Gangnam Style Horse Dance Statue,서울 강남구 봉은사로
attractions,10779009,4.0,광희문,Gwanghuimun,서울 중구 광희동2가 105
attractions,10813620,4.857142857142857,서울도서관,Seoul Metropolitan Library,서울 중구 세종대로 110
attractions,10897838,4.75,북악스카이웨이,Bugak Skyway,서울 종로구 평창동 산6-94
attractions,11434444,4.333333333333333,국기원,Kukkiwon World Taekwondo Headquarters,서울 강남구 테헤란로7길 32
attractions,11772906,4.75,  ,Airport Railroad Travel Center,서울   378
attractions,11850476,4.0,서울창포원,Seoul Iris Garden,서울 도봉구 마들로 916
attractions,11879393,3.4,눈스퀘어,Noon Square,서울 중구 명동길 14
