class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
attractions,10020511,4.75,하이서울페스티벌,Hi Seoul Festival,서울특별시 영등포구 영등포동7가 57,정좌표,,126.90307,37.525122
attractions,10620641,5,문정전각갤러리,Jeon-Gak Gallery,서울특별시 종로구 관훈동 74,정좌표,,126.984249,37.574684
attractions,10625757,4,명성교회,Myungsung Presbyterian Church,서울특별시 강동구 명일1동 구천면로 452,정좌표,,127.147748,37.548523
attractions,11772906,4.75,공항철도 여행센터,Airport Railroad Travel Center,서울특별시 용산구 남영동 한강대로 405,정좌표,,126.971718,37.554843
attractions,13688351,4,고희동가옥,House of Go Hui-dong,서울특별시 종로구 원서동 16,정좌표,,126.988957,37.58314
attractions,14064107,5,대원콘텐츠라이브,Popcond Square,서울특별시 용산구 한강로3가 한강대로23길 55 서울특별시 6층,정좌표,,126.964597,37.529633
attractions,3808299,4.25,국립중앙박물관 어린이박물관,Children’s Museum of National Museum of Korea,서울특별시 용산구 서빙고동 서빙고로 137,정좌표,,126.97994,37.52372
attractions,4094818,4,동덕아트갤러리,Dongduk Art Gallery,서울특별시 종로구 관훈동 우정국로 68,정좌표,,126.98326,37.574982
attractions,4094832,4.666666667,갤러리나우,Gallery Now,서울특별시 종로구 관훈동 192-13,정좌표,,126.98494,37.573798
attractions,4094887,5,아트센터나비,Art Center Nabi,서울특별시 종로구 서린동 99,정좌표,,126.980285,37.569803
attractions,4094927,2,갤러리 루미나리에,Gallery Luminarie,서울 강남구 역삼로 218,정좌표,,127.041041,37.496381
attractions,4095481,4,경희대학교 중앙박물관,The Central Museum of KyungHee University,서울특별시 동대문구 회기동 경희대로 26,정좌표,,127.052835,37.59569
attractions,4095493,2,몽촌역사박물관,Mongchon Museum of History,서울특별시 송파구 방이동 올림픽로 424,정좌표,,127.115397,37.520352
attractions,4095656,5,한국현대의상박물관,The Korea Museum of Modern Costume,서울특별시 종로구 충신동 55-1,정좌표,,127.005521,37.575469
attractions,4798548,5,티오비보 신도림점,Tiovivo Shindorim Store,서울특별시 구로구 구로동 3-25,정좌표,,126.890258,37.507117
attractions,4798567,5,국제갤러리,Kukje Gallery,서울특별시 종로구 소격동 삼청로 54,정좌표,,126.980544,37.580716
attractions,4798570,4,덕원갤러리,Deokwon Gallery,서울특별시 종로구 인사동길 24,정좌표,,126.98648,37.572937
