placeId,userId,score
555275, Azure C,5
447939, Putaine,2
6759637, Vun X,4
1465296, sliucm,4
3540875, 宥,5
754311, 朱,5
7064545, 森,5
1903752, 楊,5
4036576, 鄭,5
299154,007Sydney,5
3618306,00Jay,3
7358712,0101frank0101,4
1796658,03cookie,5
306130,05johnvelera,5
7274742,08SHE2010,5
2293780,09870987,5
7647148,100919742014,4
309826,10234,3
7686969,1025857606,5
8709450,103suell,5
1745679,103suell,3
299533,10Lynn,4
3447139,111272,1
12730428,111alicia888,5
7619069,111matteo,4
6160747,111world_wanderer111,1
754311,114hughj,4
306130,115welltravelled,5
1462092,116dave,4
2159977,117junitar,5
12094531,119Shan,4
6556403,119lydiay,1
10483549,11chiu,5
3656150,120nicb,4
3595040,120rin,1
299536,122kkl,5
299776,1234CN,4
4052408,123Elle,5
301815,123XYZ987ABC,4
455856,123ecinaj,5
611304,123fairy,3
299533,123maddoc2,3
8522945,123susan456,2
2150190,127michellen,1
3656150,128girl,3
3540875,12kai34,4
8522945,12trvlgirl,4
4344758,130Walala,5
754311,137tommyl,1
7793011,138christyt,5
306114,145d53,1
4412263,148alexy,5
7274687,14Paul76,5
5540457,158crystalb,4
2202400,163dont,4
7358712,164Ivan,5
2151168,168elly,4
4412263,172mohamed,5
10637576,174chunyingc,4
2519660,17876laura,5
6663003,179rong,4
3618306,180gloriar,3
1653156,180lisa,5
6556403,183lamp,5
6535744,183willyj,2
299152,185suc,5
306130,186338Rob,4
1557869,186jacquelinev,5
306118,186jacquelinev,4
8706565,188ian,5
582967,18thAngel,5
301253,1969jmh,5
307040,196Ale,5
301253,1976philou,5
3656150,1BBB808,4
301815,1Lizzie,4
299154,1TravelDragon,4
2202400,1VictoriaTravels,4
3568790,1agrammy,4
7390323,1anony-moose,5
13414457,1backpackeusedeplus,4
7268921,1girlandherblog,4
301815,1girlintheworld,4
582966,1globetrotterSweden,3
323987,1globetrotterSweden,5
455538,1globetrotterSweden,4
4071531,1stTank4ever,5
1465296,1travelor101,4
306130,2-ERLS,5
12101833,2000DK,3
4134785,2009A,4
3618306,2009A,4
1174409,2010newyorkgirl,2
754311,20140905,4
6622669,2015YoYo5102,5
8308055,2015YoYo5102,5
7647148,2017_Hotel,2
10483549,201onealt,4
9806612,202Countries,4
3656150,202meig,4
7613319,203haluke,5
7358712,203sharonn,5
3656150,20412238,3
299776,206Seattle,5
3618306,20George15,5
301253,20oscar16,5
622211,213LAX,4
754311,218yanfeil,4
5252370,21se,5
299533,221abcd,5
2202400,223catherine,4
799326,22saleem123,5
1557869,22xo6,5
7358712,2312261961,4
6591787,232423,4
10483549,234chan,5
754311,238loric,4
2393710,243brucem,4
754311,249509431,5
7358746,249tyn,1
754311,24stanb,4
6960801,251obt,5
3595040,253SA,5
5484623,25Irene1234,4
8322447,270ambrose,5
7613319,273gracet,5
4462683,276JAMES,4
306125,281shahnawazs,3
3618306,282tany,5
