class,placeId,score,name_kor,name_eng,location
hotels,10038332,2.5,XYM 부티크 호텔,Boutique Hotel Xym,"37.50938,127.064384"
hotels,10189330,5.0,류게스트하우스,,"37.523125,127.02618"
hotels,10205834,4.445454545454545,티마크 그랜드 호텔 명동,Tmark Grand Hotel Myeongdong,"37.55831,126.97836"
hotels,10205977,4.666666666666667,마중하우스,Majung Haus,"37.5526,126.97573"
hotels,10299463,5.0,Guest House ABOUT,Guest House ABOUT,"37.5628,127.00823"
hotels,10331620,4.966666666666667,호스텔하루,Hostel HARU,"37.56893,126.98434"
hotels,10380258,4.604166666666667,이비스 앰배서더 서울 동대문,,"37.566307,127.00208"
hotels,10399655,4.714285714285714,보눔1957 한옥 스테이 앤 호텔,Bonum 1957 Hanok Stay and Hotel,"37.581764,126.98486"
hotels,10428145,2.5,호텔 소울하다,Hotel Soulhada,"37.49894,127.03245"
hotels,10447640,4.0,모노하우스버젯,Mono House Budget,"37.562973,126.924355"
hotels,10449106,4.4,Stay Hotel Gangnam,Stay Hotel Gangnam,"37.499454,127.03539"
hotels,10483549,4.397849462365591,호텔스카이파크 킹스타운동대문점,Hotel Skypark Kingstown Dongdaemun,"37.56894,127.00771"
hotels,10514149,4.3023255813953485,아만티 호텔 서울,,"37.557198,126.918816"
hotels,10543135,4.823529411764706,게스트하우스 파자마파티,Guesthouse Pajamaparty,"37.56464,126.923744"
hotels,10597697,5.0,정 하우스 홍대,Jeong House Hongdae,"37.558483,126.92813"
hotels,10636497,3.7777777777777777,컴온 게스트하우스 명동,Come On Guesthouse Myeongdong,"37.55967,126.99583"
hotels,10637576,4.194444444444445,시타딘 한리버 서울,Citadines Han River Seoul,"37.540787,126.89071"
hotels,10641837,4.0,아트몬스테이 게스트하우스,Artmonstay Guesthouse,"37.557392,126.98523"
hotels,10692374,4.665271966527197,호텔28 명동,Hotel28 Myeongdong,"37.564274,126.98392"
hotels,10794734,5.0,게스트하우스 수,Guesthouse Soo,"37.579918,126.96798"
hotels,10999937,4.0,코코모 호텔,,"37.502,126.88334"
hotels,1112201,4.2,비원 게스트하우스,Beewon Guest House,"37.57611,126.98986"
hotels,11444263,4.0,칠리게스트하우스,Chilli Guesthouse,"37.556274,126.91902"
hotels,1149130,4.777777777777778,필스테이 명동역점,Philstay Myeongdong Station,"37.561653,126.98541"
hotels,1149165,3.142857142857143,미오 II 디자인 레지던스,Mmmio II Design Residence,"37.565475,126.99161"
hotels,1150903,4.111111111111111,영빈 호텔,Youngbin Hotel,"37.562958,127.00564"
hotels,11626607,4.523809523809524,호텔 엔트라 강남,,"37.524338,127.048325"
hotels,1162688,3.125,레이크 호텔,,"37.506706,127.10095"
hotels,11667433,5.0,브릭스 호텔,,"37.59995,126.920975"
hotels,11704055,5.0,K게스트하우스 동대문5호점,K-Guesthouse Dongdaemun 5,"37.56533,127.00686"
hotels,11725904,4.205882352941177,  강남,Glad Live Gangnam,"37.50825,127.03635"
hotels,11725914,3.5,참 한옥 게스트 하우스,Charm Hanok Guest House,"37.575756,126.989525"
hotels,1174409,4.033333333333333,세림호텔,Saerim Hotel,"37.573475,126.984474"
hotels,1175377,3.0,한강 호텔,Han Kang Hotel,"37.548027,127.10973"
hotels,1175419,3.75,호텔 프린세스,,"37.527367,127.03664"
hotels,11804600,4.634920634920635,에이퍼스트호텔 명동,,"37.56762,126.98096"
hotels,11807873,5.0,소풍 더 어반,,"37.562313,126.92641"
hotels,11832219,5.0,나비호스텔,,"37.557926,126.92483"
hotels,11846421,5.0,서촌 가치 비엔비,Seochon Gachi B&amp;B,"37.579556,126.96612"
hotels,11857609,3.0,24게스트하우스 신촌에비뉴,24 Guesthouse Sinchon Avenue,"37.55789,126.93765"
hotels,1186443,3.7,뉴 코리아 호텔,New Korea Hotel,"37.55827,126.97956"
hotels,11864693,4.0,필스테이 동국대점,Philstay Dongguk Univ.,"37.564465,127.0081"
hotels,11930699,3.5,아트뷰 호텔,Artview Hotel,"37.56293,126.992226"
hotels,11946590,4.8,그리드인호텔,Grid Inn Hotel,"37.5696,126.99133"
hotels,11959021,5.0,아임그린게스트하우스,I&#39;m Green Guesthouse,"37.59227,126.99284"
hotels,1196129,4.4,호스텔 코리아,,"37.575535,127.020515"
hotels,1196458,4.4,리앤노 게스트하우스,,"37.561447,126.92109"
hotels,11964803,5.0,타임트래블러 릴렉스,,"37.56042,126.93024"
hotels,1196533,4.4,바나나 백패커스,,"37.54635,126.97903"
hotels,12019574,3.8333333333333335,호텔도트명동,Hotel Dott Myeongdong,"37.56182,126.987915"
hotels,1202980,4.0,홍대 게스트하우스,,"37.556564,126.92308"
hotels,12033515,3.7142857142857144,호텔더디자이너스 건대점,Hotel The Designers Kondae,"37.558506,127.07653"
hotels,12079226,4.428571428571429,호텔조커,Hotel Joker,"37.526432,126.88393"
hotels,12079886,4.333333333333333,호텔유리앤,Hotel URI&amp;,"37.50894,127.05771"
hotels,12094531,4.444444444444445,도미인 서울 강남,Dormy Inn Seoul Gangnam,"37.505795,127.02938"
hotels,12101833,4.75098814229249,알로프트 서울 명동,Aloft Seoul Myeongdong,"37.56248,126.98169"
hotels,12105731,2.6666666666666665,라마다앙코르서울마곡호텔,,"37.56808,126.82634"
hotels,12133931,3.0,필스테이 명동점,Philstay Myeongdong,"37.564102,126.98537"
hotels,12154415,4.0,호텔 가온 종로,,"37.5705,126.98706"
hotels,12188178,4.125,호텔이노스테이,Hotel Inno Stay,"37.565876,127.05395"
hotels,12193383,1.0,레피하우스,Refee house,"37.523746,127.05243"
hotels,12196120,5.0,집게스트하우스,,"37.547565,126.914925"
