placeId,userId,score
6671988, 은주 김,4
2194168, 은주 김,4
1990451, 은주 김,4
592506, 은주 김,3
1046419, 은주 김,3
1958940, 은주 김,4
324891, 은주 김,3
554537, 은주 김,4
553546, 은주 김,3
325043, 은주 김,4
324907, 은주 김,4
4798715,007빵,5
609340,007빵,5
6570666,101troy777,4
9582584,103suell,4
2015834,103suell,5
2015834,103suell,5
2194168,103suell,5
2194168,1234Seoul,5
554537,1234Seoul,5
1169465,1234Seoul,5
554582,1234Seoul,5
324888,1234Seoul,5
592506,1234Seoul,5
2571660,123SDF,2
4798715,123SDF,4
1552278,123SDF,3
592658,123SDF,4
2341922,123SDF,5
592506,123SDF,3
590748,123SDF,3
3694519,123SDF,5
1604009,123SDF,3
6671988,123SDF,1
3808256,123SDF,4
324888,123SDF,3
3808315,123SDF,3
8842556,123SDF,3
554533,123SDF,3
1169465,123SDF,4
6570666,123SDF,4
4095685,123SDF,5
554634,123SDF,3
553546,123SDF,3
6656879,123SDF,4
324891,123SDF,4
1379963,123SDF,2
1766551,123SDF,3
1960138,123SDF,2
2341905,123SDF,3
1235392,123SDF,5
4798715,123janee,5
10183192,123minheey,5
7353795,123minheey,5
10270564,123minheey,5
7028432,123minheey,5
4094861,123minheey,5
7891943,123minheey,5
598499,123minheey,5
3197992,123minheey,5
1379963,123minheey,5
7891676,123minheey,3
1554603,124gracie,5
324888,124gracie,5
553546,124gracie,5
6671988,124gracie,5
1169465,124gracie,4
2194168,133지현김,5
1169465,135yy,5
324888,137yujink,5
12635586,157jungc,5
10270564,157jungc,5
2194168,182jsp,4
4798711,194ren,4
1604009,194ren,3
592490,197mihyangk,5
4798715,197mihyangk,5
4798711,197mihyangk,4
324891,197mihyangk,4
592495,197mihyangk,5
2194168,19850410,5
1235392,19850410,4
324888,1kim2parks,5
592658,1kim2parks,5
2008729,1kim2parks,5
324891,1kim2parks,5
1958940,1kim2parks,5
2194168,1kim2parks,5
590748,1kim2parks,5
3822061,1kim2parks,5
553546,1kim2parks,5
554537,1kim2parks,5
2194168,1pint,5
553546,1pint,1
6671988,1pint,4
9582584,1pint,2
3805483,1pint,4
1169465,1pint,3
2293574,1world077,3
1440196,2002dbstj,5
324891,2002dbstj,4
1046419,2002dbstj,3
592506,202google202,5
324891,232munjuk,3
8693245,235minas,5
1957627,24esa,4
6656879,24esa,4
554582,24esa,3
1552278,24esa,4
2194168,273eunjip,5
1831099,2875rosa,4
553546,2875rosa,3
1958940,2875rosa,4
554537,2875rosa,3
1379963,2875rosa,4
324888,2875rosa,5
1046419,2875rosa,4
1552278,2875rosa,3
592506,2875rosa,4
6656879,2875rosa,5
324891,2875rosa,4
592495,2875rosa,3
1862191,2875rosa,4
