placeId,userId,score
306105,  Су  Л,4
455856,--NS---SYD,5
11804600,007gal,5
299533,009wg,5
301817,07078945909,5
306114,0720kj,4
5250436,0983217654,5
7834720,0LoXuM0,5
9986158,0jiwon8602,4
306130,1004as1004,5
3618306,1004mono,5
306130,100혜인이,5
1745679,103suell,3
7358738,103suell,4
7358738,103suell,4
9454537,104daeuns,3
7688216,104jun,4
8522945,115003,5
2151168,115mju,3
9861332,116hm,3
7613319,122hyun,4
306132,122hyun,5
306115,123SDF,4
6225290,123SDF,5
306126,123SDF,5
306139,123SDF,5
12698628,123daeunj,5
6402635,123formin,5
5250436,12sam4,5
1150903,12sam4,5
3477083,12sam4,4
3575356,12sam4,5
7353565,12sam4,4
2508404,12여행이좋아,5
1569561,130823エマニュエル,5
11804600,134877,4
12388243,13hedge,5
4134800,13hedge,1
299154,141youngs,5
10514149,1489012,5
306139,157jhl,5
7054545,158eunc,4
9454537,164상준이,4
659341,166sherry,5
6556403,16형주김,5
301253,176태호김,4
7738789,177hyerij,5
3477158,182myunghany,5
301253,182myunghany,5
8522945,182미진장,2
555275,188kyungwank,5
8681735,196stephan,4
306130,1988kimji,5
306130,1988kimji,5
306130,1988kimji,5
306130,1988kimji,5
6402635,1990traveler2015,3
306118,19다이나효정82,4
622211,1pint,4
659341,1pint,5
9986158,1red112,5
6663003,2002mk,5
7244241,2018you,4
754311,204sun,4
301817,207inkik,5
3154945,20carter16,5
306115,213bellaa,4
12287729,217성민강,5
301605,21cho,5
622211,21cococo,5
1653156,21cococo,5
7613319,22boyoung,2
306128,22oasis,5
500996,23sungminp,5
301815,243강산이,5
8110812,265yoons,5
8681735,267mariek,4
8110812,2718065,5
306115,275jieunb,5
306115,285seungnamk,5
7613319,29yui,4
12101833,2eemn,5
306105,2ssh,5
306130,305혜원이,5
1657213,308iany,2
6552915,309jihyunm,5
306118,313AlisonK,5
3477158,317sjp,5
14159727,334sunmiy,5
3477158,338crystalk,4
555275,338crystalk,4
301253,338crystalk,3
555275,338crystalk,4
5113510,338crystalk,5
555275,338crystalk,3
306139,338crystalk,4
306114,338crystalk,4
3477158,338kieunk,5
661056,339미장,5
306115,354jungminp,3
306105,359seulgik,3
8681735,363mamama,2
8681735,372승희최,5
8368838,373594,5
301253,37limh,3
306139,37limh,5
299537,382917384,4
306139,386rachel,5
6402630,38775877,5
8681735,388수진김,5
2333443,3B_kwi,3
3595040,3Purplegreen3,3
8681735,3dntjs5,5
299538,3rdeyes,5
299533,3seconds,5
306114,3sh0001,3
306114,400hajungk,2
1150903,406대현김,3
4137679,406대현김,5
7054545,423jungheek,5
299533,423jungheek,4
7161291,423jungheek,5
306132,423minsungk,4
611304,423parky,4
10692374,425지현이,5
1557869,42bryant,3
3477158,42bryant,4
7613319,42mayk,5
299533,434인영박,5
299533,434인영박,4
301253,441수진김,5
7382024,441지은박,5
2159977,44minami,5
555275,45twinkling,5
5460911,460hyunjungc,5
10514149,462yongari,4
754311,46gom,4
301605,474경진이,5
1987696,475jong,5
13819581,486kkh,5
8681735,495hahaha,5
306105,499윤지이,5
6556403,504seraj,4
3618306,506shr,4
3618306,506shr,4
10205834,5222185,5
12698628,540소라이,5
5113510,543kyungeuns,5
455446,544hyunjink,4
7686969,544hyunjink,4
3477071,544sunnyk,1
306114,559재윤김,4
301817,559재윤김,5
301815,563jessej,4
306115,563jessej,4
2539264,571yaya,5
12730569,571슬이이,5
2508404,582dudu,4
307032,5CM7,4
