class,placeId,score,name_kor,name_eng,location
restaurants,10000530,4.666666666666667,닭다리칼국수,Dakdari Kalguksu,서울 성동구 연무장3길 21
restaurants,10000553,4.5,동해도 을지로점,Donghaedo Euljiro,서울 중구 남대문로10길 9
restaurants,10000564,4.5,명장도가니,Myeongjang Dogani,서울 노원구 석계로18길 15
restaurants,10000653,4.0,벽돌집,Byeokdopjip,서울 마포구 와우산로21길 21
restaurants,10058097,5.0,Nogari,Nogari,"서울 153-4 Insa-dong, Jongno-gu, Seoul, South Korea"
restaurants,10058560,4.333333333333333,사마르칸트시티,Samarkand City,서울 중구 을지로42길 16
restaurants,10060003,5.0,와인나라,Wine Nara,서울 서초구 서래로 8길 1
restaurants,10073649,4.166666666666667,코리아노스 키친 광화문점,Coreanos Kitchen Gwanghwamun,서울 종로구 종로3길 17
restaurants,10077987,4.0,육쌈냉면 경희대점,Yookssam Naengmyeon Kyunghee University,서울 동대문구 경희대로4길 6
restaurants,10078256,3.75,코다차야 홍대점,Kodachaya Hongdae,서울 마포구 와우산로 48
restaurants,10085204,4.0,돌체비타,Dolce Vita,서울 용산구 이태원로 161
restaurants,10085228,4.0,소녀방앗간,Sobang Life,서울 종로구 삼봉로 71
restaurants,10085257,3.7142857142857135,제주식당,Jeju Restaurant,서울 용산구 대사관로 48
restaurants,10088187,3.0,유리가가린,Yurigagarin,서울 마포구 포은로 78
restaurants,10088229,4.352941176470588,더 파크뷰,The Parkview,서울 중구 동호로 249
restaurants,10088336,5.0,요정,Yojeong,서울 마포구 동교로34길 11
restaurants,10088494,4.666666666666667,마루,Maru,서울 용산구 서빙고로 137
restaurants,10088544,5.0,파파야폭폭,Papaya Pokpok,서울 마포구 독막로19길 42
restaurants,10117856,3.6666666666666665,DOM 펍&바,D.O.M. Pub & Bar,서울 강남구 테헤란로87길 41
restaurants,10117984,4.6,런드리피자,Laundry Pizza,서울 강남구 봉은사로4길 22
restaurants,10121872,4.333333333333333,라우라우,Raurau,서울 서초구 서초중앙로 188
restaurants,10121887,4.083333333333333,빅가이즈랍스타 현대백화점무역센터점,Big Guy's Lobster Hyundai Dept. Store Trade Center,서울 강남구 테헤란로 517
restaurants,10122347,4.0,권서방네순대국,Kwon Seobang Sundae Guk,서울 강남구 봉은사로112길 16-4
restaurants,10122465,5.0,금해안,Gold Coast,서울 종로구 율곡로6길 26
restaurants,10122552,4.333333333333333,무명식당,Moomyung Restaurant,서울 성북구 성북로 50
restaurants,10137253,4.142857142857143,이화수 전통육개장 서울무교점,Ihwasoo Traditional Yukgaejang Seoul Mugyo,서울 중구 다동길 16
restaurants,10137300,4.0,화로이야기,Hwaro Iyagi,서울 중구 명동9길 45
restaurants,10137441,4.5,아그라 에비뉴 종로점,Agra Avenue Jongno,서울 중구 을지로5길 26
restaurants,10137465,4.0,시화담 그릴,Siwhadam Grill,서울 용산구 이태원로 254
restaurants,10137516,4.0,산수골추어탕감자탕,Sansugol Chueotang Gamjatang,서울 성동구 왕십리로31가길 31
restaurants,10137625,4.818181818181818,애슐리 한양대점,Ashley Hanyang University,서울 성동구 왕십리로 241
restaurants,10137766,4.5,큰맘할매순대국 한양대점,Keunmam Halmae Sundaeguk Hanyang University,서울 성동구 마조로 21
restaurants,10149391,4.0,돈까스공장,Tonkatsu Factory,서울 성동구 마조로 17
restaurants,10157024,5.0,옳은,Orn,서울 종로구 돈화문로11가길 65
restaurants,10161237,4.0,혜화면옥,Hyehwa Myeonok,서울 성북구 보문로 193-1
restaurants,10161470,4.4,행운돈가스,Lucky Tonkatsu,서울 성동구 마조로1길 2
restaurants,10161542,4.6923076923076925,펀두리 바,Fundoori Bar,서울 용산구 한강대로 185-1
restaurants,10164776,4.458333333333333,모던눌랑,Modern Nulang,서울 서초구 사평대로 205
restaurants,10169154,4.0,새니바이로드샌드위치,SARNIE by Lord Sandwich,서울 마포구 양화로23길 30
restaurants,10169174,4.0,리틀사이공,Little Saigon,서울 서초구 서초대로73길 58
restaurants,10169351,3.0,홍반장 연남점,Hongbanjang Yeonnam,서울 마포구 동교로 233
restaurants,10169516,4.0,원조우리생태찌개,Wonjo Uri Saengtae Jjigae,서울 강남구 테헤란로43길 27
restaurants,10169537,4.375,니뽕내뽕 현대시티아울렛동대문점,Nipong Naepong Hyundai City Outlet Dongdaemun,서울 중구 장충단로13길 20
restaurants,10174178,4.0, ,Chamsuk Ggomjangeh,서울 중구 신당 5동 142-3
restaurants,10175424,5.0,벨지,Bel-G Pub,서울 용산구 녹사평대로 54길 23
restaurants,10189582,4.0,부산아구,Busan Agu,서울 강남구 강남대로150길 10
restaurants,10197273,4.5,네온바이블,Neon Bible,서울 마포구 포은로 52
restaurants,10197302,5.0,라몽림,Lamongrim,서울 마포구 포은로 42
restaurants,10197322,4.2,동경야시장신촌점,Donggyeong Ya Sijang Sinchon,서울 서대문구 연세로4길 7
restaurants,10197329,4.0,자마레코드,Jama Record,서울 서대문구 연세로2마길 17
restaurants,10197362,5.0,담날,Damnal,서울 성동구 고산자로 269
restaurants,10197407,3.0,파리 크라상,Paris Croissant,"서울 2620 Nambusunwhan-ro, Seocho-gu, Seoul, South Korea"
restaurants,10211619,3.6666666666666665,Thursday Party 2,Thursday Party 2,서울 마포구 와우산로 14-17
restaurants,10211641,3.6666666666666665,포 포유,Pho For You,서울 용산구 녹사평대로 246-1
restaurants,10211659,4.333333333333333,도스마스,Dos Mas,서울 종로구 성균관로 5길 9
restaurants,10214365,3.5,이바돔외식패밀리 한양대점,Ebadom Oesik Family Hanyang University,서울 성동구 고산자로6길 40
restaurants,10222729,5.0,리나스파파,Lina's Papa,서울 관악구 남현길 76
restaurants,1022942,4.25,피프티,50 Fifty,"서울 646-1 Sinsa-Dong, Gangnam-Gu"
restaurants,10229463,3.0,얌타이이태원점,Yum Thai Itaewon,서울 용산구 이태원로 230-2
restaurants,10235599,4.0,제일치킨호프,Best Chicken Hof,서울 서초구 서초대로 389
restaurants,10241262,4.0,보일드브로커리,Boiled Broccoli,서울   5
restaurants,10253254,3.75,계절밥상 강남롯데점,Seasons Table Gangnam Lotte,서울 강남구 도곡로 401
restaurants,10253289,4.333333333333333,더페이지,The Page,서울 서초구 방배로36길 6
restaurants,10253322,4.0,바르미샤브샤브n칼국수 왕십리점,Bareumi Shabu-shabu n Kalguksu Wangsimni,서울 성동구 왕십리광장로 17
restaurants,10253328,4.714285714285714,순남시래기 압구정점,Soonnam Siraegi Apgujeong,서울 강남구 압구정로28길 22
restaurants,10253336,3.5,도화원,Dohwawon,서울 영등포구 영등포로 180-1
restaurants,10253358,4.0,야미캄퐁,Yummy Kampong,서울 중구 장충단로13길 20
restaurants,10253361,4.5,삼육공,360,서울 마포구 독막로7길 26
restaurants,10253371,4.5,난전,Nanjeon,서울 마포구 독막로7길 54
restaurants,10253383,4.454545454545454,브릭스피자조인트,Brix Pizza Joint,서울 용산구 이태원로 203
restaurants,10257899,4.0,봉쥬떡볶이,Bongjyu Tteokbokki,서울 종로구 대명길 4
restaurants,10261766,5.0,램스칸,Lambskhan,서울 서초구 서초대로 78길 36
restaurants,10262260,5.0,신세계 떡볶이,Sinsegye Tteokbokki,서울 중구 명동9길 10
restaurants,10262296,3.7142857142857135,낭만김밥,Nangman Gimbap,서울 중구 명동7길 18
restaurants,10265799,3.333333333333333,티그레 세비체리아,Tigre Cevicheria,서울 용산구 대사관로 31길
restaurants,10270601,3.0,이태리식당,Italy Restaurant,서울 중구 퇴계로36길 27
restaurants,10277865,5.0,부쉬,Bush,서울 강남구 언주로85길 7
restaurants,10277883,4.6,프라그로 다이너,Fragro Diner,서울 용산구 한강대로38가길 25
restaurants,10277898,4.0,육회공작소 한양대점,Yukhoe Gongjakso Hanyang University,서울 성동구 마조로7길 5
restaurants,10278109,4.333333333333333,배꼽시계,Baekkop Sigye,서울 마포구 연남로 11
