class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10000530,4.666666667,닭다리칼국수,Dakdari Kalguksu,서울 성동구 연무장3길 21,정좌표,,127.051797,37.545413
restaurants,10000553,4.5,동해도 을지로점,Donghaedo Euljiro,서울 중구 남대문로10길 9,정좌표,,126.983218,37.567206
restaurants,10000564,4.5,명장도가니,Myeongjang Dogani,서울 노원구 석계로18길 15,정좌표,,127.060318,37.623808
restaurants,10000653,4,벽돌집,Byeokdopjip,서울 마포구 와우산로21길 21,정좌표,,126.92267,37.55227
restaurants,10058097,5,Nogari,Nogari,서울 153-4 Insa-dong Jongno-gu Seoul South Korea,광역시좌표,,126.977863,37.566412
restaurants,10058560,4.333333333,사마르칸트시티,Samarkand City,서울 중구 을지로42길 16,정좌표,,127.005539,37.565594
restaurants,10060003,5,와인나라,Wine Nara,서울 서초구 서래로 8길 1,정좌표,,126.998555,37.498759
restaurants,10073649,4.166666667,코리아노스 키친 광화문점,Coreanos Kitchen Gwanghwamun,서울 종로구 종로3길 17,정좌표,,126.978899,37.570998
restaurants,10077987,4,육쌈냉면 경희대점,Yookssam Naengmyeon Kyunghee University,서울 동대문구 경희대로4길 6,정좌표,,127.052854,37.592465
restaurants,10078256,3.75,코다차야 홍대점,Kodachaya Hongdae,서울 마포구 와우산로 48,정좌표,,126.923425,37.548556
restaurants,10085204,4,돌체비타,Dolce Vita,서울 용산구 이태원로 161,정좌표,,126.991786,37.534536
restaurants,10085228,4,소녀방앗간,Sobang Life,서울 종로구 삼봉로 71,정좌표,,126.981095,37.572666
restaurants,10085257,3.714285714,제주식당,Jeju Restaurant,서울 용산구 대사관로 48,정좌표,,127.003422,37.533346
restaurants,10088187,3,유리가가린,Yurigagarin,서울 마포구 포은로 78,정좌표,,126.905669,37.553988
restaurants,10088229,4.352941176,더 파크뷰,The Parkview,서울 중구 동호로 249,정좌표,,127.007026,37.557632
restaurants,10088336,5,요정,Yojeong,서울 마포구 동교로34길 11,정좌표,,126.925011,37.56105
restaurants,10088494,4.666666667,마루,Maru,서울 용산구 서빙고로 137,정좌표,,126.97994,37.52372
restaurants,10088544,5,파파야폭폭,Papaya Pokpok,서울 마포구 독막로19길 42,정좌표,,126.923905,37.549029
restaurants,10117856,3.666666667,DOM 펍&바,D.O.M. Pub & Bar,서울 강남구 테헤란로87길 41,정좌표,,127.057589,37.51048
restaurants,10117984,4.6,런드리피자,Laundry Pizza,서울 강남구 봉은사로4길 22,정좌표,,127.026372,37.503379
restaurants,10121872,4.333333333,라우라우,Raurau,서울 서초구 서초중앙로 188,정좌표,,127.013331,37.49827
restaurants,10121887,4.083333333,빅가이즈랍스타 현대백화점무역센터점,Big Guy's Lobster Hyundai Dept. Store Trade Center,서울 강남구 테헤란로 517,정좌표,,127.059751,37.508614
restaurants,10122347,4,권서방네순대국,Kwon Seobang Sundae Guk,서울 강남구 봉은사로112길 16-4,정좌표,,127.064617,37.513825
restaurants,10122465,5,금해안,Gold Coast,서울 종로구 율곡로6길 26,정좌표,,126.989187,37.576132
restaurants,10122552,4.333333333,무명식당,Moomyung Restaurant,서울 성북구 성북로 50,정좌표,,127.003,37.592216
restaurants,10137253,4.142857143,이화수 전통육개장 서울무교점,Ihwasoo Traditional Yukgaejang Seoul Mugyo,서울 중구 다동길 16,정좌표,,126.980133,37.567684
restaurants,10137300,4,화로이야기,Hwaro Iyagi,서울 중구 명동9길 45,정좌표,,126.983905,37.565824
restaurants,10137441,4.5,아그라 에비뉴 종로점,Agra Avenue Jongno,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10137465,4,시화담 그릴,Siwhadam Grill,서울 용산구 이태원로 254,정좌표,,127.001163,37.537246
restaurants,10137516,4,산수골추어탕감자탕,Sansugol Chueotang Gamjatang,서울 성동구 왕십리로31가길 31,정좌표,,127.029774,37.563849
restaurants,10137625,4.818181818,애슐리 한양대점,Ashley Hanyang University,서울 성동구 왕십리로 241,정좌표,,127.040183,37.556258
