class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,10000599,3.5609756097560976,빌즈 광화문,bills Gwanghwamun,37.5717,126.97971000000001
restaurants,10025748,4.0,뱀부하우스,Bamboo House,37.507,127.03663999999999
restaurants,10040756,3.8181818181818175,117 파크,117 Park,37.571552000000004,126.970795
restaurants,1006353,5.0,레보,Les Baux,37.52602,127.03658999999999
restaurants,10063988,4.5,참치공방,Chamchi Gongbang,37.57072,126.98422
restaurants,10065566,5.0,할스,Hearth,37.50355,127.03987
restaurants,10073597,4.0701754385964914,오리지널 팬케이크 하우스,The Original Pancake House Itaewon,36.951187,127.02991000000002
restaurants,10079161,3.703125,BHC치킨 명동본점,BHC Chicken Myeongdong,37.564575,126.98386399999998
restaurants,10080270,3.7857142857142856,아카시아 카페 비스트로,Acacia Cafe & Bistro,37.5199,127.022675
restaurants,10083141,4.0,탑 카페테리아,TOP cafeteria,37.563342999999996,127.0371
restaurants,10085211,4.75,야마뜨,Yec'hed Mat,37.54899,126.91878999999999
restaurants,10096415,4.529411764705882,자연별곡,Nature Kitchen,37.570892,126.97895
restaurants,10103011,4.333333333333333,YG 리퍼블릭,YG Republique,37.564583,126.983574
restaurants,10116264,5.0,롱브레드,Long Bread,37.56409,126.99793999999999
restaurants,10117976,4.111111111111111,브라더후드키친,Brotherhood Kitchen,37.502784999999996,127.02743999999998
restaurants,10118068,4.0,멘야하나비,Menya Hanabi,37.51106,127.1076
restaurants,10122363,4.125,익선동121,EX-ON 121,37.574028000000006,126.99029499999999
restaurants,10133954,4.967741935483871,이빠네마 그릴,Ipanema Grill,37.55708,126.93718
restaurants,10136205,4.2615384615384615,개성만두 궁,Gaeseong Mandu Koong,37.574345,126.985565
restaurants,10137453,2.782608695652174,아그라 코엑스몰점,Agra COEX Mall,37.511390000000006,127.05916599999999
restaurants,10137496,3.0,이태원 겐지스,Ganges Itaewon,37.53524,126.99898
restaurants,10151079,4.333333333333333,몰트바배럴,Malt Bar BARREL,37.510704,127.0555
restaurants,10154101,3.363636363636364,래미스,Ramie's,37.535004,126.99441999999999
restaurants,10160945,3.333333333333333,엉터리생고기 왕십리점,Ungteori Saenggogi Wangsimni,37.562614,126.98405
restaurants,10160977,4.0,명동칼국수,Myeongdong Kalguksu,37.520832,126.93128
restaurants,10161274,3.6428571428571432,오후정,Ohujeong,37.386036,127.12218999999999
restaurants,10161356,4.5769230769230775,모모카페 코트야드 서울 남대문,MoMo Cafe Courtyard Seoul Namdaemun,37.560974,126.976906
restaurants,10161422,4.166666666666667,반미리,Banhmi Lee,37.54307,126.98758000000001
restaurants,10167973,4.782608695652174,버거뱅,Burgerbang,37.57853,126.98911000000001
restaurants,10169301,4.625,중앙해장,Jungang Haejang,37.50795,127.06556
restaurants,10171106,5.0,,Shinsi Hwaro Seorae Mael BBQ Joint,37.498740000000005,126.99786
restaurants,10171533,4.230769230769232, ,Ramen Beravo,37.553707,126.90965
restaurants,10174333,4.5,옥수 해물찜 칼국수,Oksoo Haemulchim Kalkuksoo,37.54229,127.01815
restaurants,1017583,3.75,세시 셀라 압구정점,Ceci Cela Apgujeong Store,37.52313,127.03616000000001
restaurants,1017585,3.555555555555556,브루스케타 코엑스점,Bruschetta Pix Caffe,37.51184,127.05845
restaurants,1018414,4.375,디자인 카페,Design Cafe,37.52582,127.03638000000001
restaurants,10184287,2.5,젠바,Zen Bar,37.552402,126.92216
restaurants,10189486,3.333333333333333,들풀,Dulpul,37.55653,126.92200000000001
restaurants,10189513,4.75,무화잠,Moohwajam,37.52057,127.02968
restaurants,10189599,4.5,Bbq  ,Bbq Primium Cafe,37.551144,127.12817
restaurants,10189607,5.0,,Hwarin,37.502421999999996,127.03759
restaurants,10192704,4.37037037037037,피짜 무쪼,Pizza Muzzo,37.534782,126.99628
restaurants,10197345,4.266666666666667,모녀꼬마마약김밥,Monyeo Kkoma Mayak Gimbap,37.570248,127.00111000000001
restaurants,10202101,4.153846153846153,가온,Gaon,37.522617,127.03643999999998
restaurants,10202451,4.5,장수갈매기,Jansu Galmaegi,37.543022,126.95171
restaurants,10202624,4.0,동원집,Dongwon Jip,37.566154,126.98258999999999
restaurants,10206020,4.666666666666667,닭진미 강원집,Dakjinmi Gangwon Jib,37.56409,126.99793999999999
restaurants,1022941,4.285714285714286,페이퍼 가든,Cafe Papergarden,37.523876,127.03758
restaurants,10229475,4.916666666666667,사랑의고기,Beef of Love,37.537884000000005,127.00488
restaurants,10235656,5.0,남산와이너리,Namsan Winery,37.538914,126.98911000000001
restaurants,10240194,4.84375,페르시안 퀸,Persian Queen,37.539543,126.99538000000001
restaurants,10240375,4.333333333333333,랩,Ramen Truck Lab,37.547447,126.92258500000001
restaurants,10241286,3.333333333333333,김삼보 김치찌개,Kimsambo Kimchi-Jjigae,37.566063,127.00573
restaurants,10245574,5.0,플라워진,Flower Gin,37.539825,126.98755
restaurants,10250277,4.714285714285714,루트,Root,37.53727,127.00003999999998
restaurants,10253268,2.878787878787879,더 파운틴,The Fountain,37.535152000000004,126.993
restaurants,10253390,4.5,,360,37.563755,126.90841999999999
restaurants,10257443,4.805194805194804,지화자,Jihwaja,37.586956,126.96951999999999
restaurants,10257708,3.8,몽키숄더,Monkey Shoulder,37.536716,126.99968999999999
restaurants,10257940,4.325581395348837,글램 라운지,Glam Lounge,37.535072,126.99359
restaurants,10263330,4.333333333333333,  ,  ,37.577118,127.03093999999999
restaurants,10266362,3.75,유로구르메,Eurogourmet,37.568375,126.97827
restaurants,10277863,4.454545454545454,앙프랑뜨,L'Empreinte French Bistro Seoul,37.56152,126.92442
restaurants,10277871,4.1,더스트릿,The STREET,37.524715,127.051414
restaurants,10277955,5.0,향정 인사동,Hyangjeong Insadong,37.5743,126.98404
restaurants,10278307,5.0,,Iron Pan,37.565517,126.99529
restaurants,10309069,4.96,Slice,Slice,37.52535,127.05033
restaurants,10318499,5.0,김치버스,Kimchi Bus,37.541233,127.06576000000001
restaurants,10338068,4.0,스팀펑크,Steampunk,37.503876,127.02798999999999
restaurants,10342030,4.857142857142857,미스테이크룸,MISSTAKEROOM,37.53395,126.99313000000001
restaurants,10342318,4.5,뚝심한우,Dduksim Hanu,37.563274,126.98576000000001
restaurants,10359032,5.0,소울트럭,Soul Truck,37.539375,126.99152
restaurants,10379991,3.333333333333333,누사,Nusa,37.544968,126.92424
restaurants,10386964,5.0,Nature Kitchen,Nature Kitchen,37.51021,127.09743
restaurants,10388017,3.6,빤닭빤닭,Bbandak Bbandak,37.563472999999995,126.98524499999999
restaurants,10431608,4.111111111111111,열두달,12dal,37.572975,126.98958600000002
restaurants,10436094,4.962962962962963,낭만치맥,Romantic Chimac,37.561023999999996,126.85488000000001
restaurants,10455715,4.5,구스토타코,Gusto Taco USAG Yongsan,37.529884,126.98218999999999
restaurants,10455766,4.666666666666667,노멀바이류니끄,Normal by Ryunique,37.520817,127.02221999999999
restaurants,10472526,5.0,소살리토바닷가재,Sausalito Lobster,37.572224,126.98646000000001
restaurants,10483058,4.0,L'Empreinte Bistro,L'Empreinte Bistro,37.56155,126.9241
restaurants,10492609,4.833333333333333,올드캡,OLDCAP,37.537045,126.98816000000001
restaurants,10510550,4.833333333333333,카페로쏘,Cafe Rosso,37.582863,126.98122
restaurants,10536084,3.6666666666666665,애슐리 노들나루점,Ashley Nodeul Naru,37.525715000000005,126.93841
restaurants,10536992,3.8571428571428568,에르메스 까페마당,"Cafe Madang, Maison Hermes Dosan Park",37.522976,127.03518000000001
restaurants,1058133,4.2814371257485035,더 플라잉 팬 블루,The Flying Pan Blue,37.534874,126.9944
restaurants,10593507,4.909090909090909,라 마밋 서울,La Marmite Seoul,37.53967,126.9859
restaurants,10597969,4.733333333333333,북촌옥,Bukchonok,37.579370000000004,126.98658999999999
restaurants,10624805,5.0,카페샌드박,Cafe SandPark,37.557415,126.92135
restaurants,10628978,5.0,미쉬매쉬,Mishmash,37.537365,127.000046
restaurants,10642014,4.916666666666667,플람스비스트로 서초점,"Flam's Bistro, German & French Restaurant",37.482517,127.01038
restaurants,10660437,4.416666666666667,더플레이스,The Place,37.55595,126.97333
restaurants,10670911,4.0,포춘레스토랑,Fortune Restaurant,37.5648,127.00505
restaurants,10674489,4.333333333333333,Swoyambhu Restaurant,Swoyambhu Restaurant,37.5517,126.93739
restaurants,10674909,4.333333333333333,부엉이 돈가스,Owl's Cutlet,37.568740000000005,127.00918999999999
restaurants,10676592,4.5606060606060606,보칼리노,Boccalino,37.57034,126.97543999999999
restaurants,10677157,4.25,레스토랑 오늘,O'neul the Korean Cuisine,37.52622,126.99596000000001
restaurants,10677636,3.0,하남돼지집 명동1호점,Hanam Dwaeji Jib Myeongdong 1st,37.56511,126.98375
restaurants,10686479,4.0,HBC고깃집 이태원2호점,HBC Meat House Itaewon 2-ho,37.538425,126.96545
restaurants,10691572,4.809523809523808,소브레메사,Sobremesa,37.502644000000004,127.02387
restaurants,10696724,4.75,2시의 테이블 by 메종 드 꾸숑,2 o'clock's Table by Maison de Cochon,37.52122,127.02256000000001
restaurants,10720358,4.411764705882354,모터시티,Motor City,37.53402,126.98947
restaurants,10730323,4.285714285714286,포치민 - 디타워점,Pho Chi Minh - D Tower,37.5717,126.97971000000001
restaurants,1073239,4.0,스시 효,Sushi Hyo,37.522059999999996,127.04185
restaurants,10747919,3.752941176470588,쉐이크쉑 강남점,Shake Shack Gangnam,37.502666,127.025375
restaurants,10751158,4.951219512195122,택대리네 인사동마늘보쌈,Insadong Garlic Bossam,37.573963,126.98612
restaurants,10751162,4.9375,택대리네고기집,Taekdaerine Gogi Jib,37.56278,126.99086000000001
restaurants,10764995,4.416666666666667,라페름,La FERME,37.537083,127.00183999999999
restaurants,10782575,4.0,포크포크,Pork Fork,37.655598,127.06221000000001
restaurants,10804960,5.0,마트료시카,Matreshka,37.536137,126.999756
restaurants,10804989,4.571428571428571,뚜르 드 고메,Tour de Gourmet,37.558365,126.97861
restaurants,10805007,4.6,유람 더 그릴,Youlam The Grill,37.558365,126.97861
restaurants,10815836,4.916666666666667,뉴욕 버거 앤 베이글,New York B&B Burger and Bagel,37.49667,127.03121000000002
restaurants,10818105,4.5,제주몬트락 강남2호점,Jeju Montrak Gangnam 2-ho,37.508340000000004,127.0235
restaurants,10825480,4.142857142857143,매란방,Maeranbang,37.5606,127.03796399999999
restaurants,10825574,4.0,온더보더 광화문D타워점,On The Border Gwanghwamun D-Tower,37.57132,126.97895
restaurants,10833119,4.166666666666667,뽀모도로 코엑스몰점,Pomodoro COEX Mall,37.512196,127.05871
restaurants,10833148,4.0,세상의모든아침,Sesangui Modeun Achim,37.52219,126.91991399999999
restaurants,10833156,4.2,하동관 코엑스몰직영점,Hadonggwan COEX Mall,37.51125,127.05972
restaurants,1087908,3.117647058823529,T.G.I.F. 대학로점,TGI Fridays Daehangno Store,37.58286,127.0021
restaurants,1089519,3.4375,홀리차우 압구정점,HO LEE CHOW Apgujeong Store,37.52237,127.0377
restaurants,10915600,5.0,타니도리,Tanidori,37.51795,127.02202
restaurants,1091660,5.0,딘 1998,DEAN1998,37.49988,127.02528999999998
restaurants,10954364,4.8,태번38,Tavern 38,37.486076000000004,127.00471
restaurants,1100758,4.105263157894736,빅락,Big Rock,37.499718,127.02893
restaurants,1114546,4.075268817204301,피자 힐,Pizza Hill,37.553875,127.109146
restaurants,1139516,3.333333333333333,빌라 소르티노,Villa Sortino,37.534775,126.99659
restaurants,1139517,4.25,벽제 갈비,Byeokje Galbi,37.5578,126.93777
restaurants,1140397,4.25,아지오 홍대점,Agio Hongdae Store,37.573784,126.98346000000001
restaurants,1140398,2.6111111111111107,알리바바,Ali Baba,37.534786,126.99656999999999
restaurants,1140399,4.1909090909090905,안동찜닭,Andong Jjimdak,37.563747,126.98522
restaurants,1140439,4.333333333333333,한미리 역삼점,Hanmiri Yeoksam Store,37.50006,127.03665
restaurants,1140453,3.7666666666666666,이태원 갈비,Itaewon Galbi,37.53488,126.99433
restaurants,1140460,3.8867924528301887,메드포갈릭 압구정점,Mad For Garlic Apgujeong,37.528403999999995,127.03173999999999
restaurants,1143856,4.111111111111111,놀부 홍대점,Nolboo Hongdae Store,37.55458,126.92171
restaurants,1143877,3.0434782608695654,포 베이 압구정 본점,Pho Bay Apgujeong Main Store,37.52792,127.03452
restaurants,1143904,4.361111111111111,사동면옥,Sadong Myeonok,37.57413,126.98586
restaurants,1143932,3.140845070422535,산토리니,Santorini,37.534264,126.98903999999999
restaurants,1144019,3.508196721311476,곽경찬의 시골밥상,Kwak Kyung Chan's Sigol Bapsang,37.535835,126.99938999999999
restaurants,1144379,4.037313432835822,탑 클라우드,Top Cloud Grill & Cafe,37.570526,126.98353600000002
restaurants,1148306,3.9642857142857135,참숯골,Chamsookgol,37.567097,126.97935
restaurants,11543569,4.666666666666667,오오픈 레스토랑,Oopen Restaurant,37.566387,127.00222
restaurants,11621364,4.0,갓잇,God Eat,37.500965,127.0518
restaurants,11621385,3.25,차찬텡,Cha Chaan Teng,37.53689,126.98836999999999
restaurants,11644697,4.833333333333333,미스피츠,MISFITS Burger & Pub,37.482582,126.98101000000001
restaurants,1166551,4.285714285714286,한우리 한정식,Hanwoori Korean Restaurant,37.521156,127.03473000000001
restaurants,11671916,4.75,송혜자김밥,Song Hyeja Gimbap,37.592415,127.0123
restaurants,11671920,4.625,써니사이드,Sunnyside,37.49344,127.13351399999999
restaurants,11675011,4.571428571428571,Kioku Seoul,Kioku Seoul,37.571,126.97546000000001
